vehicle_group,item_name,full_item_name,source_row,system_category,source_unit,exclusive_price,vat,inclusive_price,conflict_type,recommended_action
Nissan Navara – YD25 engine,BLADE ASSY WIND,Nissan Navara – YD25 engine BLADE ASSY WIND,200,Wiper System,PC,160454.90,28881.88,189336.78,new source duplicate with conflicting prices,"Choose the correct variant; if both are distinct, rename them before importing"
Nissan Navara – YD25 engine,BLADE ASSY WIND,Nissan Navara – YD25 engine BLADE ASSY WIND,201,Wiper System,PC,138128.54,24863.14,162991.68,new source duplicate with conflicting prices,"Choose the correct variant; if both are distinct, rename them before importing"
