source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason
17,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Brake pad plates,Brake pad plates,Brake System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-BRAKE-PAD-PLATES,Nissan vehicles – YD25 engine - Brake pad plates,stock,1,828104.00,149059.00,977163.00,0.00,ready,ready,
18,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ABS sensor,ABS sensor,Brake System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-ABS-SENSOR,Nissan vehicles – YD25 engine - ABS sensor,stock,1,3416207.00,614917.00,4031125.00,-1.00,ready,ready,
19,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Drive shaft boot,Drive shaft boot,Axle,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRIVE-SHAFT-BOOT,Nissan vehicles – YD25 engine - Drive shaft boot,stock,1,679006.00,122221.00,801227.00,0.00,ready,ready,
20,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SEAL HUB FRONT (Front grease seals),SEAL HUB FRONT (Front grease seals),Axle,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-SEAL-HUB-FRONT-FRONT-GREASE-SEALS,Nissan vehicles – YD25 engine - SEAL HUB FRONT (Front grease seals),stock,1,171748.00,30915.00,202663.00,0.00,ready,ready,
21,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BEARING ASSY-FR (Wheel bearings inner),BEARING ASSY-FR (Wheel bearings inner),Axle,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-BEARING-ASSY-FR-WHEEL-BEARINGS-INNER,Nissan vehicles – YD25 engine - BEARING ASSY-FR (Wheel bearings inner),stock,1,523363.00,94205.00,617569.00,-1.00,ready,ready,
22,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Bearing KLM3008 (Wheel bearings outer),Bearing KLM3008 (Wheel bearings outer),Axle,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-BEARING-KLM3008-WHEEL-BEARINGS-OUTER,Nissan vehicles – YD25 engine - Bearing KLM3008 (Wheel bearings outer),stock,1,1165877.00,209858.00,1375735.00,0.00,ready,ready,
23,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SHAFT ASSY FRON (Drive shaft),SHAFT ASSY FRON (Drive shaft),Axle,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-SHAFT-ASSY-FRON-DRIVE-SHAFT,Nissan vehicles – YD25 engine - SHAFT ASSY FRON (Drive shaft),stock,1,9026163.00,1624709.00,10650873.00,-1.00,ready,ready,
24,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ORNAMENT ROAD C (Hub cap),ORNAMENT ROAD C (Hub cap),Axle,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-ORNAMENT-ROAD-C-HUB-CAP,Nissan vehicles – YD25 engine - ORNAMENT ROAD C (Hub cap),stock,1,207924.00,37426.00,245350.00,0.00,ready,ready,
25,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine LEVER-COMPLETE (*Accelerator pedal),LEVER-COMPLETE (*Accelerator pedal),Axle,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-LEVER-COMPLETE-ACCELERATOR-PEDAL,Nissan vehicles – YD25 engine - LEVER-COMPLETE (*Accelerator pedal),stock,1,2997723.00,539590.00,3537313.00,0.00,ready,ready,
26,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CYL ASSY-RR WHE (Wheel cylinder),CYL ASSY-RR WHE (Wheel cylinder),Axle,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-RR-WHE-WHEEL-CYLINDER,Nissan vehicles – YD25 engine - CYL ASSY-RR WHE (Wheel cylinder),stock,1,1142421.00,205636.00,1348056.00,1.00,ready,ready,
27,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Nut (Wheel lock nut),Nut (Wheel lock nut),Axle,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-NUT-WHEEL-LOCK-NUT,Nissan vehicles – YD25 engine - Nut (Wheel lock nut),stock,1,146459.00,26363.00,172822.00,0.00,ready,ready,
28,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Wash-lock Wheel (Wheel hub washers),Wash-lock Wheel (Wheel hub washers),Axle,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-WASH-LOCK-WHEEL-WHEEL-HUB-WASHERS,Nissan vehicles – YD25 engine - Wash-lock Wheel (Wheel hub washers),stock,1,102727.00,18491.00,121218.00,0.00,ready,ready,
29,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Scr-truss HD (Wheel hub screw),Scr-truss HD (Wheel hub screw),Axle,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-SCR-TRUSS-HD-WHEEL-HUB-SCREW,Nissan vehicles – YD25 engine - Scr-truss HD (Wheel hub screw),stock,1,27010.00,4862.00,31872.00,0.00,ready,ready,
30,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine COMP BRG NEEDLE (Wheel hub lock nut),COMP BRG NEEDLE (Wheel hub lock nut),Axle,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-COMP-BRG-NEEDLE-WHEEL-HUB-LOCK-NUT,Nissan vehicles – YD25 engine - COMP BRG NEEDLE (Wheel hub lock nut),stock,1,211066.00,37992.00,249058.00,0.00,ready,ready,
31,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine HUB ASSY-AUTO F (Free running hub),HUB ASSY-AUTO F (Free running hub),Axle,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-HUB-ASSY-AUTO-F-FREE-RUNNING-HUB,Nissan vehicles – YD25 engine - HUB ASSY-AUTO F (Free running hub),stock,1,5760063.00,1036811.00,6796874.00,0.00,ready,ready,
32,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-ALTNTR,BELT-ALTNTR,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-BELT-ALTNTR,Nissan vehicles – YD25 engine - BELT-ALTNTR,stock,1,419844.00,75572.00,495416.00,0.00,ready,ready,
33,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-COMPRESSOR,BELT-COMPRESSOR,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-BELT-COMPRESSOR,Nissan vehicles – YD25 engine - BELT-COMPRESSOR,stock,1,105608.00,19009.00,124617.00,0.00,ready,ready,
34,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-POWER STEE,BELT-POWER STEE,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-BELT-POWER-STEE,Nissan vehicles – YD25 engine - BELT-POWER STEE,stock,1,84565.00,15222.00,99787.00,0.00,ready,ready,
35,Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, small)","GUIDE-CHAIN TEN (Guide chain tensioner, small)",Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-GUIDE-CHAIN-TEN-GUIDE-CHAIN-TENSIONER-SMALL,"Nissan vehicles – YD25 engine - GUIDE-CHAIN TEN (Guide chain tensioner, small)",stock,1,49998.00,9000.00,58998.00,0.00,ready,ready,
