source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason
390,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Gasket-nozzle (Injector Nozzle seal),Gasket-nozzle (Injector Nozzle seal),Fuel Supply System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-GASKET-NOZZLE-INJECTOR-NOZZLE-SEAL,Nissan vehicles – KA24 engine - Gasket-nozzle (Injector Nozzle seal),stock,1,65689.08,11824.03,77513.11,0.00,ready,ready,
391,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine TUBE ASSY-FUEL (Fuel return pipe),TUBE ASSY-FUEL (Fuel return pipe),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-FUEL-FUEL-RETURN-PIPE,Nissan vehicles – KA24 engine - TUBE ASSY-FUEL (Fuel return pipe),stock,1,4847597.60,872567.57,5720165.17,0.00,ready,ready,
392,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine TUBE ASSY-INJEC (Fuel rail),TUBE ASSY-INJEC (Fuel rail),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail),stock,1,385400.26,69372.05,454772.31,0.00,ready,ready,
393,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine TUBE-INJECTION (Fuel rail pipe1),TUBE-INJECTION (Fuel rail pipe1),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-INJECTION-FUEL-RAIL-PIPE1,Nissan vehicles – KA24 engine - TUBE-INJECTION (Fuel rail pipe1),stock,1,248585.00,44745.30,293330.30,0.00,ready,ready,
394,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine TUBE ASSY-INJEC (Fuel rail pipe2),TUBE ASSY-INJEC (Fuel rail pipe2),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE2,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail pipe2),stock,1,381627.58,68692.96,450320.55,-0.01,ready,ready,
395,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine TUBE ASSY-INJEC (Fuel rail pipe3),TUBE ASSY-INJEC (Fuel rail pipe3),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE3,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail pipe3),stock,1,252056.49,45370.17,297426.66,0.00,ready,ready,
396,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine TUBE ASSY-INJEC (Fuel rail pipe4),TUBE ASSY-INJEC (Fuel rail pipe4),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE4,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail pipe4),stock,1,515795.63,92843.21,608638.85,-0.01,ready,ready,
397,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine O RING (Tank belt clamp),O RING (Tank belt clamp),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-O-RING-TANK-BELT-CLAMP,Nissan vehicles – KA24 engine - O RING (Tank belt clamp),stock,1,30989.91,5578.18,36568.09,0.00,ready,ready,
398,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Cap-filler-scre (Fuel tank cap - rubber),Cap-filler-scre (Fuel tank cap - rubber),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-CAP-FILLER-SCRE-FUEL-TANK-CAP-RUBBER,Nissan vehicles – KA24 engine - Cap-filler-scre (Fuel tank cap - rubber),stock,1,179773.14,32359.17,212132.31,0.00,ready,ready,
399,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Manifold Assy-I (Intake manifold ass),Manifold Assy-I (Intake manifold ass),Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-MANIFOLD-ASSY-I-INTAKE-MANIFOLD-ASS,Nissan vehicles – KA24 engine - Manifold Assy-I (Intake manifold ass),stock,1,2917267.43,525108.14,3442375.57,0.00,ready,ready,
400,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Suction control valve,Suction control valve,Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-SUCTION-CONTROL-VALVE,Nissan vehicles – KA24 engine - Suction control valve,stock,1,1300000.00,234000.00,1534000.00,0.00,ready,ready,
401,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Fuel filter senosr,Fuel filter senosr,Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-FUEL-FILTER-SENOSR,Nissan vehicles – KA24 engine - Fuel filter senosr,stock,1,516531.08,92975.59,609506.68,-0.01,ready,ready,
402,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Gasket-manifold,Gasket-manifold,Fuel Supply System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-GASKET-MANIFOLD,Nissan vehicles – KA24 engine - Gasket-manifold,stock,1,239454.46,43101.80,282556.26,0.00,ready,ready,
403,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Link Compl-fr S (Ball joint - upper LH),Link Compl-fr S (Ball joint - upper LH),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-FR-S-BALL-JOINT-UPPER-LH,Nissan vehicles – KA24 engine - Link Compl-fr S (Ball joint - upper LH),stock,1,945865.74,170255.83,1116121.58,-0.01,ready,ready,
404,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine LINK COMPL RH (Ball joint - upper RH),LINK COMPL RH (Ball joint - upper RH),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-RH-BALL-JOINT-UPPER-RH,Nissan vehicles – KA24 engine - LINK COMPL RH (Ball joint - upper RH),stock,1,945865.74,170255.83,1116121.58,-0.01,ready,ready,
405,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Link Compl-fr S (Ball joint - lower RH),Link Compl-fr S (Ball joint - lower RH),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-FR-S-BALL-JOINT-LOWER-RH,Nissan vehicles – KA24 engine - Link Compl-fr S (Ball joint - lower RH),stock,1,957358.16,172324.47,1129682.63,0.00,ready,ready,
406,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Link Compl-fr S (Ball joint - lower LH),Link Compl-fr S (Ball joint - lower LH),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-FR-S-BALL-JOINT-LOWER-LH,Nissan vehicles – KA24 engine - Link Compl-fr S (Ball joint - lower LH),stock,1,957358.16,172324.47,1129682.63,0.00,ready,ready,
407,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Rod Kit-relay * (Track rod),Rod Kit-relay * (Track rod),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-ROD-KIT-RELAY-TRACK-ROD,Nissan vehicles – KA24 engine - Rod Kit-relay * (Track rod),stock,1,1610048.33,289808.70,1899857.02,0.01,ready,ready,
408,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Rod Kit - Tie; (Tie rod ends),Rod Kit - Tie; (Tie rod ends),Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-ROD-KIT-TIE-TIE-ROD-ENDS,Nissan vehicles – KA24 engine - Rod Kit - Tie; (Tie rod ends),stock,1,1688862.54,303995.26,1992857.80,0.00,ready,ready,
409,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine ABSORBER-SHOCK (Front shock absorbers),ABSORBER-SHOCK (Front shock absorbers),Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-ABSORBER-SHOCK-FRONT-SHOCK-ABSORBERS,Nissan vehicles – KA24 engine - ABSORBER-SHOCK (Front shock absorbers),stock,1,686300.23,123534.04,809834.27,0.00,ready,ready,
410,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Bush *telex* (Shock absorber bushes),Bush *telex* (Shock absorber bushes),Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-TELEX-SHOCK-ABSORBER-BUSHES,Nissan vehicles – KA24 engine - Bush *telex* (Shock absorber bushes),stock,1,61282.34,11030.82,72313.16,0.00,ready,ready,
411,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Shock RR 2WD KA (rear shock absorbers),Shock RR 2WD KA (rear shock absorbers),Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-SHOCK-RR-2WD-KA-REAR-SHOCK-ABSORBERS,Nissan vehicles – KA24 engine - Shock RR 2WD KA (rear shock absorbers),stock,1,649155.24,116847.94,766003.19,-0.01,ready,ready,
412,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine BUSH STAB (Stabiliser bar bushes, big)","BUSH STAB (Stabiliser bar bushes, big)",Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-STAB-STABILISER-BAR-BUSHES-BIG,"Nissan vehicles – KA24 engine - BUSH STAB (Stabiliser bar bushes, big)",stock,1,129283.48,23271.03,152554.51,0.00,ready,ready,
413,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine Stabiliser bar bushes, small","Stabiliser bar bushes, small",Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-STABILISER-BAR-BUSHES-SMALL,"Nissan vehicles – KA24 engine - Stabiliser bar bushes, small",stock,1,233852.74,42093.49,275946.23,0.00,ready,ready,
414,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine BUSH RR SPR RR (Spring bushes, small)","BUSH RR SPR RR (Spring bushes, small)",Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-RR-SPR-RR-SPRING-BUSHES-SMALL,"Nissan vehicles – KA24 engine - BUSH RR SPR RR (Spring bushes, small)",stock,1,86385.33,15549.36,101934.69,0.00,ready,ready,
415,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine Bush-spring (Spring bushes, big)","Bush-spring (Spring bushes, big)",Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-SPRING-SPRING-BUSHES-BIG,"Nissan vehicles – KA24 engine - Bush-spring (Spring bushes, big)",stock,1,52770.76,9498.74,62269.49,0.01,ready,ready,
416,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine SPRING ASSY RR (Leaf spring, complete)","SPRING ASSY RR (Leaf spring, complete)",Suspension & Steering System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-SPRING-ASSY-RR-LEAF-SPRING-COMPLETE,"Nissan vehicles – KA24 engine - SPRING ASSY RR (Leaf spring, complete)",stock,1,5626086.15,1012695.51,6638781.66,0.00,ready,ready,
417,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Clip RR Spring (leaf spring clamps),Clip RR Spring (leaf spring clamps),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-CLIP-RR-SPRING-LEAF-SPRING-CLAMPS,Nissan vehicles – KA24 engine - Clip RR Spring (leaf spring clamps),stock,1,182864.20,32915.56,215779.76,0.00,ready,ready,
418,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine SEAT ASSY-RR SP U - bolts mounting plates - set,SEAT ASSY-RR SP U - bolts mounting plates - set,Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-SEAT-ASSY-RR-SP-U-BOLTS-MOUNTING-PLATES-SET,Nissan vehicles – KA24 engine - SEAT ASSY-RR SP U - bolts mounting plates - set,stock,1,378821.85,68187.93,447009.78,-0.00,ready,ready,
419,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine PAD ASSY-RR SPR (Leaf spring seat),PAD ASSY-RR SPR (Leaf spring seat),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-PAD-ASSY-RR-SPR-LEAF-SPRING-SEAT,Nissan vehicles – KA24 engine - PAD ASSY-RR SPR (Leaf spring seat),stock,1,170214.62,30638.63,200853.25,0.00,ready,ready,
420,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine ARM ASSY FR SPR (Anchor arm),ARM ASSY FR SPR (Anchor arm),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-ARM-ASSY-FR-SPR-ANCHOR-ARM,Nissan vehicles – KA24 engine - ARM ASSY FR SPR (Anchor arm),stock,1,213822.40,38488.03,252310.44,-0.01,ready,ready,
421,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine ARM ASSY ANCHOR (Anchor arm),ARM ASSY ANCHOR (Anchor arm),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-ARM-ASSY-ANCHOR-ANCHOR-ARM,Nissan vehicles – KA24 engine - ARM ASSY ANCHOR (Anchor arm),stock,1,221019.05,39783.43,260802.48,-0.00,ready,ready,
422,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine PULLEY-PUMP (Power steering pump pulley),PULLEY-PUMP (Power steering pump pulley),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-PULLEY-PUMP-POWER-STEERING-PUMP-PULLEY,Nissan vehicles – KA24 engine - PULLEY-PUMP (Power steering pump pulley),stock,1,636553.22,114579.58,751132.80,-0.00,ready,ready,
423,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Power Pump assy (Steering pump),Power Pump assy (Steering pump),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-POWER-PUMP-ASSY-STEERING-PUMP,Nissan vehicles – KA24 engine - Power Pump assy (Steering pump),stock,1,3136859.83,564634.77,3701494.60,0.00,ready,ready,
424,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine ArmKit-Pitman+- (Pitman arm),ArmKit-Pitman+- (Pitman arm),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-ARMKIT-PITMAN-PITMAN-ARM,Nissan vehicles – KA24 engine - ArmKit-Pitman+- (Pitman arm),stock,1,550447.26,99080.51,649527.76,0.01,ready,ready,
425,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Idler Kit **tel (Idler arm),Idler Kit **tel (Idler arm),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-IDLER-KIT-TEL-IDLER-ARM,Nissan vehicles – KA24 engine - Idler Kit **tel (Idler arm),stock,1,770166.46,138629.96,908796.42,-0.00,ready,ready,
426,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine COLUMN ASSY-STE (steering column),COLUMN ASSY-STE (steering column),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-COLUMN-ASSY-STE-STEERING-COLUMN,Nissan vehicles – KA24 engine - COLUMN ASSY-STE (steering column),stock,1,3175601.17,571608.21,3747209.38,0.00,ready,ready,
427,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine WHEEL ASSY-STEE (Steering wheel),WHEEL ASSY-STEE (Steering wheel),Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-WHEEL-ASSY-STEE-STEERING-WHEEL,Nissan vehicles – KA24 engine - WHEEL ASSY-STEE (Steering wheel),stock,1,5448833.42,980790.02,6429623.43,0.01,ready,ready,
428,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Transfer case seal,Transfer case seal,Suspension & Steering System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TRANSFER-CASE-SEAL,Nissan vehicles – KA24 engine - Transfer case seal,stock,1,185994.04,33478.93,219472.97,0.00,ready,ready,
429,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine BRNG. Kit Centr (Center bearing),BRNG. Kit Centr (Center bearing),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-BRNG-KIT-CENTR-CENTER-BEARING,Nissan vehicles – KA24 engine - BRNG. Kit Centr (Center bearing),stock,1,538416.62,96914.99,635331.61,0.00,ready,ready,
430,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Clutch Disc (Clutch plate),Clutch Disc (Clutch plate),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-CLUTCH-DISC-CLUTCH-PLATE,Nissan vehicles – KA24 engine - Clutch Disc (Clutch plate),stock,1,1409953.42,253791.61,1663745.03,-0.00,ready,ready,
431,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Cover-Clutch (Pressure plate),Cover-Clutch (Pressure plate),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-COVER-CLUTCH-PRESSURE-PLATE,Nissan vehicles – KA24 engine - Cover-Clutch (Pressure plate),stock,1,1509944.52,271790.01,1781734.54,-0.01,ready,ready,
432,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Bearing Clutch (Release bearing),Bearing Clutch (Release bearing),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-BEARING-CLUTCH-RELEASE-BEARING,Nissan vehicles – KA24 engine - Bearing Clutch (Release bearing),stock,1,487966.35,87833.94,575800.29,0.00,ready,ready,
433,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Spring-return (Return spring),Spring-return (Return spring),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-SPRING-RETURN-RETURN-SPRING,Nissan vehicles – KA24 engine - Spring-return (Return spring),stock,1,9748.74,1754.77,11503.52,-0.01,ready,ready,
434,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Pedal Assy Clut (Clutch pedal assembly),Pedal Assy Clut (Clutch pedal assembly),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-PEDAL-ASSY-CLUT-CLUTCH-PEDAL-ASSEMBLY,Nissan vehicles – KA24 engine - Pedal Assy Clut (Clutch pedal assembly),stock,1,1005261.74,180947.11,1186208.86,-0.01,ready,ready,
435,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine TRANSMISSION (Gearbox assembly),TRANSMISSION (Gearbox assembly),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TRANSMISSION-GEARBOX-ASSEMBLY,Nissan vehicles – KA24 engine - TRANSMISSION (Gearbox assembly),stock,1,22363075.05,4025353.51,26388428.56,0.00,ready,ready,
436,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine RR EXC BRAKES A (,RR EXC BRAKES A (,Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-RR-EXC-BRAKES-A,Nissan vehicles – KA24 engine - RR EXC BRAKES A (,stock,1,46849204.15,8432856.75,55282060.90,0.00,ready,ready,
437,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine SFT-RR AXLE RH (Differential shaft RH),SFT-RR AXLE RH (Differential shaft RH),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-SFT-RR-AXLE-RH-DIFFERENTIAL-SHAFT-RH,Nissan vehicles – KA24 engine - SFT-RR AXLE RH (Differential shaft RH),stock,1,3067398.06,552131.65,3619529.71,0.00,ready,ready,
438,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine SFT-RR Axle (Differential shaft LH),SFT-RR Axle (Differential shaft LH),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-SFT-RR-AXLE-DIFFERENTIAL-SHAFT-LH,Nissan vehicles – KA24 engine - SFT-RR Axle (Differential shaft LH),stock,1,1154314.44,207776.60,1362091.04,0.00,ready,ready,
439,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Seal - Grease R (Grease seal),Seal - Grease R (Grease seal),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-SEAL-GREASE-R-GREASE-SEAL,Nissan vehicles – KA24 engine - Seal - Grease R (Grease seal),stock,1,75136.65,13524.60,88661.25,0.00,ready,ready,
440,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine BRG Assy - Tape,BRG Assy - Tape,Transmission System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-BRG-ASSY-TAPE,Nissan vehicles – KA24 engine - BRG Assy - Tape,stock,1,462962.20,83333.20,546295.40,0.00,ready,ready,
441,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine FLYWHELL ASSY,FLYWHELL ASSY,Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-FLYWHELL-ASSY,Nissan vehicles – KA24 engine - FLYWHELL ASSY,stock,1,5652304.73,1017414.85,6669719.58,0.00,ready,ready,
442,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Seal (Transfer case seal),Seal (Transfer case seal),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-SEAL-TRANSFER-CASE-SEAL,Nissan vehicles – KA24 engine - Seal (Transfer case seal),stock,1,31164.27,5609.57,36773.84,0.00,ready,ready,
443,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine INSULATOR-ENGIN (Gearbox mountings),INSULATOR-ENGIN (Gearbox mountings),Transmission System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-KA24-ENGINE-INSULATOR-ENGIN-GEARBOX-MOUNTINGS,Nissan vehicles – KA24 engine - INSULATOR-ENGIN (Gearbox mountings),stock,1,510580.44,91904.48,602484.92,0.00,ready,ready,
444,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine Case Transfer F (Transfer case, front)","Case Transfer F (Transfer case, front)",Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-CASE-TRANSFER-F-TRANSFER-CASE-FRONT,"Nissan vehicles – KA24 engine - Case Transfer F (Transfer case, front)",stock,1,2438247.54,438884.56,2877132.10,0.00,ready,ready,
445,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine Case (Transfer case, center)","Case (Transfer case, center)",Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-CASE-TRANSFER-CASE-CENTER,"Nissan vehicles – KA24 engine - Case (Transfer case, center)",stock,1,2587633.14,465773.97,3053407.11,0.00,ready,ready,
446,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine CASE-TRANSFER (Differential case),CASE-TRANSFER (Differential case),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-CASE-TRANSFER-DIFFERENTIAL-CASE,Nissan vehicles – KA24 engine - CASE-TRANSFER (Differential case),stock,1,3201058.86,576190.59,3777249.45,-0.00,ready,ready,
447,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine High gear cover,High gear cover,Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-HIGH-GEAR-COVER,Nissan vehicles – KA24 engine - High gear cover,stock,1,3551105.58,639199.00,4190304.59,-0.01,ready,ready,
448,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Cross bearing,Cross bearing,Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-CROSS-BEARING,Nissan vehicles – KA24 engine - Cross bearing,stock,1,441509.44,79471.70,520981.14,0.00,ready,ready,
449,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Alloy Wheel (Rim),Alloy Wheel (Rim),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-ALLOY-WHEEL-RIM,Nissan vehicles – KA24 engine - Alloy Wheel (Rim),stock,1,6670358.71,1200664.57,7871023.28,0.00,ready,ready,
450,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Tyre repair (per tyre),Tyre repair (per tyre),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-TYRE-REPAIR-PER-TYRE,Nissan vehicles – KA24 engine - Tyre repair (per tyre),stock,1,33619.47,6051.50,39670.97,0.00,ready,ready,
451,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine WRENCH WHL NUT (Wheel spanner),WRENCH WHL NUT (Wheel spanner),Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-WRENCH-WHL-NUT-WHEEL-SPANNER,Nissan vehicles – KA24 engine - WRENCH WHL NUT (Wheel spanner),stock,1,66545.07,11978.11,78523.19,-0.01,ready,ready,
452,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine WHEEL BOLT (Wheel stud, front)","WHEEL BOLT (Wheel stud, front)",Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-WHEEL-BOLT-WHEEL-STUD-FRONT,"Nissan vehicles – KA24 engine - WHEEL BOLT (Wheel stud, front)",stock,1,130300.26,23454.05,153754.30,0.01,ready,ready,
453,Nissan vehicles – KA24 engine,"Nissan vehicles – KA24 engine BOLT-HUB (Wheel stud,rear)","BOLT-HUB (Wheel stud,rear)",Transmission System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-BOLT-HUB-WHEEL-STUD-REAR,"Nissan vehicles – KA24 engine - BOLT-HUB (Wheel stud,rear)",stock,1,144756.93,26056.25,170813.18,0.00,ready,ready,
454,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Compressor (AC pump),Compressor (AC pump),Air Conditioning System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-COMPRESSOR-AC-PUMP,Nissan vehicles – KA24 engine - Compressor (AC pump),stock,1,7158192.09,1288474.58,8446666.67,0.00,ready,ready,
455,Nissan vehicles – KA24 engine,Nissan vehicles – KA24 engine Pipe Assy-Fr cooler High (Condenser),Pipe Assy-Fr cooler High (Condenser),Air Conditioning System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-KA24-ENGINE-PIPE-ASSY-FR-COOLER-HIGH-CONDENSER,Nissan vehicles – KA24 engine - Pipe Assy-Fr cooler High (Condenser),stock,1,1029768.33,185358.30,1215126.63,0.00,ready,ready,
