name,item_code,price_list,price_list_rate,uom,currency,selling,buying,note,reference
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CABLE-COMPL-P-HAND-BRAKE-CABLE-SHORT,Standard Selling,1141729.00,PCS,UGX,1,0,Source VAT: 205511.00; source inclusive: 1347240.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DVC-ASSY-PKB-C-HANDBRAKE-CABLE-LONG,Standard Selling,1108995.00,PCS,UGX,1,0,Source VAT: 199619.00; source inclusive: 1308614.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PACK-BRAKE-SHIMS,Standard Selling,172085.00,PCS,UGX,1,0,Source VAT: 30975.00; source inclusive: 203060.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SPACER-VACUUM-BOOST-BRAKE-SERVO-BOLT,Standard Selling,45341.00,PCS,UGX,1,0,Source VAT: 8161.00; source inclusive: 53502.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BRAKE-PAD-PLATES,Standard Selling,828104.00,Set,UGX,1,0,Source VAT: 149059.00; source inclusive: 977163.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-ABS-SENSOR,Standard Selling,3416207.00,PCS,UGX,1,0,Source VAT: 614917.00; source inclusive: 4031125.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRIVE-SHAFT-BOOT,Standard Selling,679006.00,PCS,UGX,1,0,Source VAT: 122221.00; source inclusive: 801227.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SEAL-HUB-FRONT-FRONT-GREASE-SEALS,Standard Selling,171748.00,Set,UGX,1,0,Source VAT: 30915.00; source inclusive: 202663.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BEARING-ASSY-FR-WHEEL-BEARINGS-INNER,Standard Selling,523363.00,Set,UGX,1,0,Source VAT: 94205.00; source inclusive: 617569.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BEARING-KLM3008-WHEEL-BEARINGS-OUTER,Standard Selling,1165877.00,Set,UGX,1,0,Source VAT: 209858.00; source inclusive: 1375735.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SHAFT-ASSY-FRON-DRIVE-SHAFT,Standard Selling,9026163.00,Set,UGX,1,0,Source VAT: 1624709.00; source inclusive: 10650873.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-ORNAMENT-ROAD-C-HUB-CAP,Standard Selling,207924.00,PCS,UGX,1,0,Source VAT: 37426.00; source inclusive: 245350.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-LEVER-COMPLETE-ACCELERATOR-PEDAL,Standard Selling,2997723.00,PCS,UGX,1,0,Source VAT: 539590.00; source inclusive: 3537313.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-RR-WHE-WHEEL-CYLINDER,Standard Selling,1142421.00,Set,UGX,1,0,Source VAT: 205636.00; source inclusive: 1348056.00; arithmetic delta: 1.00,docs/item details.csv
