Vehicle Group,full item name,System Category,Item Name,item group,Unit,Price VAT tax Excl (source),VAT tax,price VAT tax Incl (source)
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-ALTNTR,Engine Components,BELT-ALTNTR,Auto Parts,PC,"419,844.00","75,572.00","495,416.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-COMPRESSOR,Engine Components,BELT-COMPRESSOR,Auto Parts,PC,"105,608.00","19,009.00","124,617.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-POWER STEE,Engine Components,BELT-POWER STEE,Auto Parts,PC,"84,565.00","15,222.00","99,787.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, small)",Engine Components,"GUIDE-CHAIN TEN (Guide chain tensioner, small)",Auto Parts,PC,"49,998.00","9,000.00","58,998.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, big)",Engine Components,"GUIDE-CHAIN TEN (Guide chain tensioner, big)",Auto Parts,PC,"79,739.00","14,353.00","94,092.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CHAIN-TIMING CA (Timing chain loose end),Engine Components,CHAIN-TIMING CA (Timing chain loose end),Auto Parts,PC,"735,589.00","132,406.00","867,995.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CHAIN-TIMING CA (Timing chain tension end),Engine Components,CHAIN-TIMING CA (Timing chain tension end),Auto Parts,PC,"559,277.00","100,670.00","659,946.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Tension Chain,Engine Components,Tension Chain,Auto Parts,PC,"428,118.00","77,061.00","505,179.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine SEAL-OIL CRANKS (Crankshaft oil seal, front)",Engine Components,"SEAL-OIL CRANKS (Crankshaft oil seal, front)",Auto Parts,PC,"128,091.00","23,056.00","151,148.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine SEAL-OIL CRANKS (Crankshaft oil seal, rear))",Engine Components,"SEAL-OIL CRANKS (Crankshaft oil seal, rear))",Auto Parts,PC,"221,129.00","39,803.00","260,933.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine HEAD CYLINDER (Cylinder head),Engine Components,HEAD CYLINDER (Cylinder head),Auto Parts,PC,"8,376,766.00","1,507,818.00","9,884,584.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Cylinder head refacing,Engine Components,Cylinder head refacing,Auto Parts,PC,"1,385,548.00","249,399.00","1,634,947.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Gasket Cylinder (Cylinde head gasket),Engine Components,Gasket Cylinder (Cylinde head gasket),Auto Parts,PC,"397,067.00","71,472.00","468,539.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine GASKET-ROCKER C (Rocker cover gasket),Engine Components,GASKET-ROCKER C (Rocker cover gasket),Auto Parts,PC,"178,594.00","32,147.00","210,741.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine INSULATOR-ENGIN (Engine mounting, rear)",Engine Components,"INSULATOR-ENGIN (Engine mounting, rear)",Auto Parts,PC,"3,414,805.00","614,665.00","4,029,469.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine INSULATOR-ENG M (Engine mounting, front)",Engine Components,"INSULATOR-ENG M (Engine mounting, front)",Auto Parts,PC,"763,179.00","137,372.00","900,551.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Plug Drain,Engine Components,Plug Drain,Auto Parts,PC,"23,475.00","4,225.00","27,700.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine ENGINE BARE, complete engine assy",Engine Components,"ENGINE BARE, complete engine assy",Auto Parts,PC,"99,984,273.00","17,997,169.00","117,981,442.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine RING SET-PISTON (Piston rings),Engine Components,RING SET-PISTON (Piston rings),Auto Parts,Set,"2,175,137.00","391,525.00","2,566,662.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PISTON WITH PIN (Piston),Engine Components,PISTON WITH PIN (Piston),Auto Parts,Set,"5,519,817.00","993,567.00","6,513,384.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Bearing Set (Main bearings),Engine Components,Bearing Set (Main bearings),Auto Parts,Set,"300,737.00","54,133.00","354,870.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BUSHING SET-CON (Piece bearings),Engine Components,BUSHING SET-CON (Piece bearings),Auto Parts,Set,"125,211.00","22,538.00","147,749.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Block Sleeve,Engine Components,Block Sleeve,Auto Parts,Set,"1,484,516.00","267,213.00","1,751,729.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine GASKET-ENGINE (Overhaul gasket kit),Engine Components,GASKET-ENGINE (Overhaul gasket kit),Auto Parts,PC,"1,518,614.00","273,350.00","1,791,964.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PUMP ASSY OIL D (Oil pump),Engine Components,PUMP ASSY OIL D (Oil pump),Auto Parts,PC,"1,231,333.00","221,640.00","1,452,973.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ROD COMP-CON (Connecting rods),Engine Components,ROD COMP-CON (Connecting rods),Auto Parts,Set,"4,178,226.00","752,081.00","4,930,307.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PUMP INJECTION (Injector pump),Engine Components,PUMP INJECTION (Injector pump),Auto Parts,PC,"11,788,709.00","2,121,968.00","13,910,677.00"
